# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
4E-BP	SPU_005957	SPU_005957-tr	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ABCB1	SPU_001752	SPU_001752-tr	protein_coding	0	7	0	9	0	6	0	4	0	0	0	0	1	0	0	0	0	6	0
ACEA_U3	EMSPUG00000014792	EMSPUT00000014792	snoRNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CPEB3_ribozyme	EMSPUG00000002289	EMSPUT00000002289	ribozyme	0	0	0	18	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
DRI	SPU_005718	SPU_005718-tr	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
DRI	SPU_017106	SPU_017106-tr	protein_coding	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0
DRI	SPU_025601	SPU_025601-tr	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
EBR1	SPU_000526	SPU_000526-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EBR1	SPU_018112	SPU_018112-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF4E2	SPU_016729	SPU_016729-tr	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E3	SPU_025634	SPU_025634-tr	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FOXA	SPU_006676	SPU_006676-tr	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
GATAE	SPU_010635	SPU_010635-tr	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GCM	SPU_006462	SPU_006462-tr	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC1	SPU_008768	SPU_008768-tr	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
KRP95	SPU_026280	SPU_026280-tr	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000000283	EMSPUT00000000283	miRNA	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000000893	EMSPUT00000000893	miRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000001052	EMSPUT00000001052	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000001288	EMSPUT00000001288	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR807	EMSPUG00000001511	EMSPUT00000001511	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000001694	EMSPUT00000001694	miRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000001736	EMSPUT00000001736	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MIR807	EMSPUG00000001758	EMSPUT00000001758	miRNA	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000002018	EMSPUT00000002018	miRNA	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000002485	EMSPUT00000002485	miRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000002541	EMSPUT00000002541	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000002616	EMSPUT00000002616	miRNA	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
